v4_0,mmm-yy,Time,uk-only,Geography,sic-unofficial,UnofficialStandardIndustrialClassification
113.1622,Dec-25,Dec-25,K02000001,United Kingdom,J,J : Information and communication
104.5861,Dec-25,Dec-25,K02000001,United Kingdom,N,N : Administrative and support service activities
107.6359,Nov-25,Nov-25,K02000001,United Kingdom,O,O : Public administration and defence
108.8078,Nov-25,Nov-25,K02000001,United Kingdom,H,H : Transportation and storage
98.8607,Nov-25,Nov-25,K02000001,United Kingdom,K,K : Financial and insurance activities
103.1854,Nov-25,Nov-25,K02000001,United Kingdom,G--T,G-T : Index of Services
101.2795,Nov-25,Nov-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
99.946,Nov-25,Nov-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
87.2588,Nov-25,Nov-25,K02000001,United Kingdom,B,B : Mining and quarrying
99.775,Nov-25,Nov-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
101.3646,Nov-25,Nov-25,K02000001,United Kingdom,L,L : Real estate activities
103.3881,Nov-25,Nov-25,K02000001,United Kingdom,N,N : Administrative and support service activities
99.2242,Nov-25,Nov-25,K02000001,United Kingdom,B--E,B-E : Production Industries
100.5023,Nov-25,Nov-25,K02000001,United Kingdom,C,C : Manufacturing
102.3984,Nov-25,Nov-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
99.0497,Nov-25,Nov-25,K02000001,United Kingdom,F,F : Construction
102.4517,Nov-25,Nov-25,K02000001,United Kingdom,A,A : Agriculture
102.2038,Nov-25,Nov-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
102.1476,Nov-25,Nov-25,K02000001,United Kingdom,S,S : Other Service Activities
97.8878,Nov-25,Nov-25,K02000001,United Kingdom,T,T : Activities of Households as employers
98.3144,Nov-25,Nov-25,K02000001,United Kingdom,P,P : Education
112.4203,Nov-25,Nov-25,K02000001,United Kingdom,J,J : Information and communication
97.1156,Nov-25,Nov-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
104.8226,Nov-25,Nov-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.1729,Nov-25,Nov-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
111.1289,Nov-25,Nov-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
108.6527,Nov-25,Nov-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
102.867,Nov-25,Nov-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
105.6763,Nov-25,Nov-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
101.7588,Oct-25,Oct-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
111.1814,Oct-25,Oct-25,K02000001,United Kingdom,J,J : Information and communication
98.4017,Oct-25,Oct-25,K02000001,United Kingdom,C,C : Manufacturing
95.8572,Oct-25,Oct-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
108.8147,Oct-25,Oct-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
99.7765,Oct-25,Oct-25,K02000001,United Kingdom,T,T : Activities of Households as employers
106.3707,Oct-25,Oct-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
101.331,Oct-25,Oct-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
108.6983,Oct-25,Oct-25,K02000001,United Kingdom,H,H : Transportation and storage
107.4971,Oct-25,Oct-25,K02000001,United Kingdom,O,O : Public administration and defence
99.297,Oct-25,Oct-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
101.3641,Oct-25,Oct-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
99.5641,Oct-25,Oct-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
104.8448,Oct-25,Oct-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
88.2081,Oct-25,Oct-25,K02000001,United Kingdom,B,B : Mining and quarrying
97.7777,Oct-25,Oct-25,K02000001,United Kingdom,B--E,B-E : Production Industries
110.2938,Oct-25,Oct-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
101.7663,Oct-25,Oct-25,K02000001,United Kingdom,L,L : Real estate activities
102.9858,Oct-25,Oct-25,K02000001,United Kingdom,A,A : Agriculture
102.1945,Oct-25,Oct-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
100.2413,Oct-25,Oct-25,K02000001,United Kingdom,F,F : Construction
98.3056,Oct-25,Oct-25,K02000001,United Kingdom,P,P : Education
103.0817,Oct-25,Oct-25,K02000001,United Kingdom,G--T,G-T : Index of Services
100.5047,Oct-25,Oct-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
98.6185,Oct-25,Oct-25,K02000001,United Kingdom,K,K : Financial and insurance activities
104.4653,Oct-25,Oct-25,K02000001,United Kingdom,N,N : Administrative and support service activities
102.9672,Oct-25,Oct-25,K02000001,United Kingdom,S,S : Other Service Activities
98.6683,Sep-25,Sep-25,K02000001,United Kingdom,K,K : Financial and insurance activities
100.6963,Sep-25,Sep-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
98.5906,Sep-25,Sep-25,K02000001,United Kingdom,P,P : Education
102.8052,Sep-25,Sep-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
96.1002,Sep-25,Sep-25,K02000001,United Kingdom,B--E,B-E : Production Industries
100.5796,Sep-25,Sep-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
101.5507,Sep-25,Sep-25,K02000001,United Kingdom,L,L : Real estate activities
104.078,Sep-25,Sep-25,K02000001,United Kingdom,N,N : Administrative and support service activities
101.5501,Sep-25,Sep-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
110.5147,Sep-25,Sep-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
97.8828,Sep-25,Sep-25,K02000001,United Kingdom,C,C : Manufacturing
107.2958,Sep-25,Sep-25,K02000001,United Kingdom,O,O : Public administration and defence
101.5032,Sep-25,Sep-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
103.7611,Sep-25,Sep-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
102.2271,Sep-25,Sep-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
101.9304,Sep-25,Sep-25,K02000001,United Kingdom,F,F : Construction
103.0471,Sep-25,Sep-25,K02000001,United Kingdom,A,A : Agriculture
83.0612,Sep-25,Sep-25,K02000001,United Kingdom,B,B : Mining and quarrying
100.2245,Sep-25,Sep-25,K02000001,United Kingdom,S,S : Other Service Activities
108.3513,Sep-25,Sep-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
102.3016,Sep-25,Sep-25,K02000001,United Kingdom,T,T : Activities of Households as employers
100.6054,Sep-25,Sep-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
104.5136,Sep-25,Sep-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
103.2805,Sep-25,Sep-25,K02000001,United Kingdom,G--T,G-T : Index of Services
108.8365,Sep-25,Sep-25,K02000001,United Kingdom,H,H : Transportation and storage
111.4484,Sep-25,Sep-25,K02000001,United Kingdom,J,J : Information and communication
91.6878,Sep-25,Sep-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
110.97,Aug-25,Aug-25,K02000001,United Kingdom,J,J : Information and communication
107.1265,Aug-25,Aug-25,K02000001,United Kingdom,O,O : Public administration and defence
102.5323,Aug-25,Aug-25,K02000001,United Kingdom,S,S : Other Service Activities
97.8571,Aug-25,Aug-25,K02000001,United Kingdom,B--E,B-E : Production Industries
102.9055,Aug-25,Aug-25,K02000001,United Kingdom,G--T,G-T : Index of Services
98.9599,Aug-25,Aug-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
110.093,Aug-25,Aug-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
108.5165,Aug-25,Aug-25,K02000001,United Kingdom,H,H : Transportation and storage
98.4713,Aug-25,Aug-25,K02000001,United Kingdom,K,K : Financial and insurance activities
99.1488,Aug-25,Aug-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
99.4156,Aug-25,Aug-25,K02000001,United Kingdom,C,C : Manufacturing
101.4243,Aug-25,Aug-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
98.3178,Aug-25,Aug-25,K02000001,United Kingdom,P,P : Education
104.7265,Aug-25,Aug-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
101.6361,Aug-25,Aug-25,K02000001,United Kingdom,F,F : Construction
102.1483,Aug-25,Aug-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
103.0949,Aug-25,Aug-25,K02000001,United Kingdom,A,A : Agriculture
98.7524,Aug-25,Aug-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
101.2766,Aug-25,Aug-25,K02000001,United Kingdom,L,L : Real estate activities
99.6909,Aug-25,Aug-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
103.6729,Aug-25,Aug-25,K02000001,United Kingdom,N,N : Administrative and support service activities
103.1514,Aug-25,Aug-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
104.3672,Aug-25,Aug-25,K02000001,United Kingdom,T,T : Activities of Households as employers
104.4885,Aug-25,Aug-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
108.531,Aug-25,Aug-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
87.7425,Aug-25,Aug-25,K02000001,United Kingdom,B,B : Mining and quarrying
93.1044,Aug-25,Aug-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
102.8693,Jul-25,Jul-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
94.4486,Jul-25,Jul-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
100.092,Jul-25,Jul-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
100.0965,Jul-25,Jul-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
110.6721,Jul-25,Jul-25,K02000001,United Kingdom,J,J : Information and communication
98.0663,Jul-25,Jul-25,K02000001,United Kingdom,K,K : Financial and insurance activities
108.6325,Jul-25,Jul-25,K02000001,United Kingdom,H,H : Transportation and storage
101.2688,Jul-25,Jul-25,K02000001,United Kingdom,L,L : Real estate activities
98.5262,Jul-25,Jul-25,K02000001,United Kingdom,P,P : Education
101.1489,Jul-25,Jul-25,K02000001,United Kingdom,S,S : Other Service Activities
104.6656,Jul-25,Jul-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
103.1,Jul-25,Jul-25,K02000001,United Kingdom,G--T,G-T : Index of Services
100.1124,Jul-25,Jul-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
105.1714,Jul-25,Jul-25,K02000001,United Kingdom,T,T : Activities of Households as employers
89.026,Jul-25,Jul-25,K02000001,United Kingdom,B,B : Mining and quarrying
98.0209,Jul-25,Jul-25,K02000001,United Kingdom,B--E,B-E : Production Industries
101.4558,Jul-25,Jul-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
104.5522,Jul-25,Jul-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.1903,Jul-25,Jul-25,K02000001,United Kingdom,C,C : Manufacturing
102.3525,Jul-25,Jul-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
102.0633,Jul-25,Jul-25,K02000001,United Kingdom,F,F : Construction
103.2795,Jul-25,Jul-25,K02000001,United Kingdom,A,A : Agriculture
106.9683,Jul-25,Jul-25,K02000001,United Kingdom,O,O : Public administration and defence
109.943,Jul-25,Jul-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
104.0542,Jul-25,Jul-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
103.0388,Jul-25,Jul-25,K02000001,United Kingdom,N,N : Administrative and support service activities
108.2586,Jul-25,Jul-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
103.0856,Jun-25,Jun-25,K02000001,United Kingdom,G--T,G-T : Index of Services
105.4882,Jun-25,Jun-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
98.562,Jun-25,Jun-25,K02000001,United Kingdom,B--E,B-E : Production Industries
99.6382,Jun-25,Jun-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
108.4555,Jun-25,Jun-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
99.3877,Jun-25,Jun-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
111.7063,Jun-25,Jun-25,K02000001,United Kingdom,J,J : Information and communication
106.7609,Jun-25,Jun-25,K02000001,United Kingdom,O,O : Public administration and defence
110.0126,Jun-25,Jun-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
104.8184,Jun-25,Jun-25,K02000001,United Kingdom,T,T : Activities of Households as employers
98.2572,Jun-25,Jun-25,K02000001,United Kingdom,P,P : Education
